k-mer,learning_rate,lambda,train_accuracy,test_accuracy,sn,sp,mcc,auc
5-mer,5e-05,0.0003,0.8780,0.7700,0.7700,0.7700,0.5400,0.8125
5-mer,5e-05,0.0005,0.8881,0.8200,0.8400,0.8000,0.6405,0.8595
5-mer,5e-05,3e-05,0.5000,0.5000,0.0000,1.0000,0.0000,0.6185
5-mer,5e-05,4e-05,0.8827,0.8150,0.7900,0.8400,0.6308,0.8266
5-mer,5e-05,1e-05,0.5000,0.5000,0.0000,1.0000,0.0000,0.6154
5-mer,5e-05,2e-05,0.8652,0.8300,0.7700,0.8900,0.6648,0.8321
5-mer,5e-05,9e-05,0.8848,0.8050,0.7800,0.8300,0.6108,0.8377
5-mer,5e-05,5e-05,0.8875,0.8250,0.7900,0.8600,0.6516,0.8467
5-mer,4e-05,1e-05,0.5000,0.5000,0.0000,1.0000,0.0000,0.6219
5-mer,5e-05,0.005,0.8915,0.8000,0.8200,0.7800,0.6005,0.8293
5-mer,5e-05,8e-05,0.8619,0.8050,0.7400,0.8700,0.6152,0.8184
5-mer,5e-05,0.0007,0.8915,0.8200,0.8000,0.8400,0.6405,0.8550
5-mer,5e-05,0.0006,0.8915,0.8100,0.8100,0.8100,0.6200,0.8443
5-mer,5e-05,6e-05,0.8841,0.8050,0.8000,0.8100,0.6100,0.8553
5-mer,5e-05,0.0001,0.8760,0.8100,0.7800,0.8400,0.6211,0.8530
5-mer,5e-05,0.0004,0.8666,0.7900,0.7800,0.8000,0.5801,0.8136
5-mer,4e-05,0.004,0.8518,0.8100,0.7600,0.8600,0.6231,0.8319
5-mer,4e-05,5e-05,0.8625,0.7750,0.6800,0.8700,0.5602,0.8312
5-mer,4e-05,9e-05,0.8693,0.8000,0.7400,0.8600,0.6044,0.8381
5-mer,4e-05,0.0002,0.8767,0.8000,0.7900,0.8100,0.6001,0.8375
